Group,Year,Value
Bottom 20 Percent,1979,0
Bottom 20 Percent,1980,-1
Bottom 20 Percent,1981,-1
Bottom 20 Percent,1982,-2
Bottom 20 Percent,1983,-5
Bottom 20 Percent,1984,-3
Bottom 20 Percent,1985,-1
Bottom 20 Percent,1986,-1
Bottom 20 Percent,1987,-2
Bottom 20 Percent,1988,2
Bottom 20 Percent,1989,7
Bottom 20 Percent,1990,11
Bottom 20 Percent,1991,16
Bottom 20 Percent,1992,20
Bottom 20 Percent,1993,23
Bottom 20 Percent,1994,25
Bottom 20 Percent,1995,30
Bottom 20 Percent,1996,30
Bottom 20 Percent,1997,31
Bottom 20 Percent,1998,38
Bottom 20 Percent,1999,41
Bottom 20 Percent,2000,38
Bottom 20 Percent,2001,40
Bottom 20 Percent,2002,43
Bottom 20 Percent,2003,44
Bottom 20 Percent,2004,46
Bottom 20 Percent,2005,49
Bottom 20 Percent,2006,53
Bottom 20 Percent,2007,57
Bottom 20 Percent,2008,64
Bottom 20 Percent,2009,69
Bottom 20 Percent,2010,69
Bottom 20 Percent,2011,66
Bottom 20 Percent,2012,63
Bottom 20 Percent,2013,66
Bottom 20 Percent,2014,72
Bottom 20 Percent,2015,82
Bottom 20 Percent,2016,83
Bottom 20 Percent,2017,83
Bottom 20 Percent,2018,89
Bottom 20 Percent,2019,94
Middle 60 Percent,1979,0
Middle 60 Percent,1980,-3
Middle 60 Percent,1981,-4
Middle 60 Percent,1982,-3
Middle 60 Percent,1983,-4
Middle 60 Percent,1984,1
Middle 60 Percent,1985,1
Middle 60 Percent,1986,4
Middle 60 Percent,1987,3
Middle 60 Percent,1988,4
Middle 60 Percent,1989,5
Middle 60 Percent,1990,6
Middle 60 Percent,1991,5
Middle 60 Percent,1992,6
Middle 60 Percent,1993,7
Middle 60 Percent,1994,8
Middle 60 Percent,1995,12
Middle 60 Percent,1996,13
Middle 60 Percent,1997,16
Middle 60 Percent,1998,21
Middle 60 Percent,1999,25
Middle 60 Percent,2000,26
Middle 60 Percent,2001,28
Middle 60 Percent,2002,27
Middle 60 Percent,2003,29
Middle 60 Percent,2004,32
Middle 60 Percent,2005,34
Middle 60 Percent,2006,36
Middle 60 Percent,2007,41
Middle 60 Percent,2008,41
Middle 60 Percent,2009,40
Middle 60 Percent,2010,38
Middle 60 Percent,2011,38
Middle 60 Percent,2012,38
Middle 60 Percent,2013,39
Middle 60 Percent,2014,41
Middle 60 Percent,2015,46
Middle 60 Percent,2016,48
Middle 60 Percent,2017,50
Middle 60 Percent,2018,54
Middle 60 Percent,2019,59
Next 19 Percent,1979,0
Next 19 Percent,1980,-3
Next 19 Percent,1981,-3
Next 19 Percent,1982,-1
Next 19 Percent,1983,2
Next 19 Percent,1984,10
Next 19 Percent,1985,9
Next 19 Percent,1986,16
Next 19 Percent,1987,15
Next 19 Percent,1988,17
Next 19 Percent,1989,20
Next 19 Percent,1990,18
Next 19 Percent,1991,16
Next 19 Percent,1992,19
Next 19 Percent,1993,19
Next 19 Percent,1994,21
Next 19 Percent,1995,25
Next 19 Percent,1996,29
Next 19 Percent,1997,33
