State,Gini coefficient (2019),Gini coefficient (2015-2019),Inequality Rank,Population,Population under Poverty Line,Poverty Rate
New York,0.5149,0.5142,51,19009098,2581048,0.1358
District of Columbia,0.5115,0.5269,50,669089,103391,0.1545
Connecticut,0.5024,0.4963,49,3466935,339156,0.0978
Louisiana,0.4978,0.4953,48,4532187,845230,0.1865
Mississippi,0.4896,0.4807,47,2883074,564439,0.1958
California,0.4866,0.4886,46,38589882,4853434,0.1258
Florida,0.4808,0.4862,45,20793628,2772939,0.1334
Massachusetts,0.4803,0.4826,44,6637329,653454,0.0985
Illinois,0.48,0.4821,43,12418504,1488670,0.1199
Georgia,0.4795,0.4819,42,10238369,1461572,0.1428
New Jersey,0.4782,0.4814,41,8713792,842704,0.0967
New Mexico,0.4768,0.4784,40,2053909,381026,0.1855
Kentucky,0.4764,0.4786,39,4322881,717895,0.1661
Texas,0.4753,0.4791,38,28013446,3984260,0.1422
Arkansas,0.475,0.4765,37,2923585,470190,0.1608
Tennessee,0.4749,0.4788,36,6603468,965213,0.1462
South Carolina,0.4747,0.474,35,4950181,726470,0.1468
Pennsylvania,0.4745,0.472,34,12387061,1480430,0.1195
North Carolina,0.4743,0.476,33,10098330,1411939,0.1398
Alabama,0.4741,0.4791,32,4771614,762642,0.1598
Oklahoma,0.4739,0.4689,31,3833712,585520,0.1527
Nevada,0.471,0.462,30,2987817,381695,0.1278
Virginia,0.469,0.4689,29,8255575,826708,0.1001
Ohio,0.4651,0.4654,28,11350378,1546011,0.1362
West Virginia,0.4644,0.4667,27,1755591,300152,0.171
Michigan,0.4634,0.4669,26,9753541,1337256,0.1371
Missouri,0.4633,0.4641,25,5942813,772992,0.1301
Rhode Island,0.4628,0.4702,24,1017028,117785,0.1158
Montana,0.4597,0.4594,23,1036490,132476,0.1278
Arizona,0.4591,0.4664,22,7012999,990528,0.1412
Indiana,0.4584,0.4526,21,6491632,838149,0.1291
Washington,0.4577,0.4573,20,7372433,751044,0.1019
Maryland,0.4558,0.4535,19,5894835,531553,0.0902
North Dakota,0.4558,0.4537,18,735842,77491,0.1053
Colorado,0.4548,0.4566,17,5563823,544232,0.0978
Delaware,0.4509,0.4545,16,941266,107641,0.1144
Kansas,0.45,0.4563,15,2828498,323644,0.1144
Oregon,0.45,0.4586,14,4096744,506558,0.1236
Maine,0.449,0.4511,13,1304038,144384,0.1107
Vermont,0.4471,0.4484,12,599938,64700,0.1078
Minnesota,0.4434,0.4494,11,5476956,511185,0.0933
Iowa,0.4422,0.4416,10,3051284,339090,0.1111
New Hampshire,0.4406,0.4384,9,1312770,97418,0.0742
Nebraska,0.44,0.4442,8,1869467,193820,0.1037
Hawaii,0.4397,0.4414,7,1381577,127971,0.0926
Wisconsin,0.4391,0.4448,6,5659485,620947,0.1097
Alaska,0.4376,0.4284,5,719445,74369,0.1034
South Dakota,0.436,0.444,4,849910,108863,0.1281
Wyoming,0.4345,0.4361,3,566858,61006,0.1076
Idaho,0.4337,0.4462,2,1722972,205676,0.1194
Utah,0.4268,0.4265,1,3102049,283360,0.0913
